code,constituency,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,round,last_updated_time,last_updated_date,party_full_name,party_short,rank_in_constituency,winner_votes,runner_up_votes,winning_margin_votes,winning_margin_percentage
S225,POONAMALLEE - 5,PRAKASAM.R,Tamilaga Vettri Kazhagam,160643,666,161309,52.22,25/25,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,161309,88569,72740,45.09357816364865
S22180,PUDUKKOTTAI - 180,V. MUTHURAJA,Dravida Munnetra Kazhagam,65745,1080,66825,35.1,22/22,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,66825,64958,1867,2.7938645716423496
S22228,RADHAPURAM - 228,DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,69400,547,69947,34.99,26/26,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,69947,57634,12313,17.603328234234493
S22202,RAJAPALAYAM - 202,JEGADESHWARI. K,Tamilaga Vettri Kazhagam,64947,601,65548,35.81,21/21,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,65548,54943,10605,16.1789833404528
S22211,RAMANATHAPURAM - 211,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,88339,798,89137,37.52,31/31,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,89137,76678,12459,13.977360691968544
S2241,RANIPET - 41,THAHIRA,Tamilaga Vettri Kazhagam,90728,421,91149,41.24,22/22,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,91149,85362,5787,6.348945133791924
S2292,RASIPURAM - 92,LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,74050,758,74808,36.55,21/21,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,74808,60297,14511,19.397658004491497
S2278,RISHIVANDIYAM - 78,KARTHIKEYAN K,Dravida Munnetra Kazhagam,88871,840,89711,36.65,25/25,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,89711,84849,4862,5.419625241051822
S2217,ROYAPURAM - 17,K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,58710,381,59091,46.4,15/15,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,59091,44842,14249,24.113655209761216
S2223,SAIDAPET - 23,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,80738,467,81205,50.63,21/21,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,81205,52691,28514,35.113601379225415
S2289,SALEM (NORTH) - 89,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,85218,492,85710,40.68,23/23,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,85710,71676,14034,16.373818690934545
S2290,SALEM (SOUTH) - 90,VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,91008,363,91371,43.95,20/20,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,91371,58002,33369,36.52034015168927
S2288,SALEM (WEST) - 88,LAKSHMANAN.S,Tamilaga Vettri Kazhagam,119587,820,120407,51.37,24/24,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,120407,45540,74867,62.17827867150581
S22219,SANKARANKOVIL - 219,DR. DHILIPAN JAISHANKAR,All India Anna Dravida Munnetra Kazhagam,63854,1011,64865,33.01,24/24,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,64865,58376,6489,10.00385415863717
S2279,SANKARAPURAM - 79,RAKESH R,All India Anna Dravida Munnetra Kazhagam,79369,881,80250,34.07,25/25,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,80250,76810,3440,4.286604361370717
S2287,SANKARI - 87,VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,86200,1142,87342,35.83,25/25,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,87342,77825,9517,10.89624693732683
S22204,SATTUR - 204,KADARKARAIRAJ. A,Dravida Munnetra Kazhagam,61342,718,62060,31.23,21/21,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,62060,56071,5989,9.650338382210764
S2293,SENTHAMANGALAM - 93,P CHANDRASEKAR,Tamilaga Vettri Kazhagam,68124,691,68815,32.82,23/23,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,68815,66160,2655,3.8581704570224513
S22190,SHOLAVANDAN - 190,KARUPPAIAH.M.V,Tamilaga Vettri Kazhagam,63234,673,63907,33.8,19/19,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,63907,61229,2678,4.190464268390004
S2239,SHOLINGUR - 39,G.KAPIL,Tamilaga Vettri Kazhagam,83856,650,84506,36.16,26/26,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,84506,78820,5686,6.728516318367926
S2227,SHOZHINGANALLUR - 27,ECR P SARAVANAN,Tamilaga Vettri Kazhagam,219807,575,220382,49.27,33/33,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,220382,123602,96780,43.91465727691009
S22121,SINGANALLUR - 121,K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,83725,438,84163,38.08,27/27,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,84163,65024,19139,22.740396611337523
S22160,SIRKAZHI - 160,SENTHILSELVAN.R,Dravida Munnetra Kazhagam,70765,684,71449,35.64,23/23,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,71449,60032,11417,15.979229940237092
S22186,SIVAGANGA - 186,KULANTHAI RANI A,Tamilaga Vettri Kazhagam,72917,820,73737,34.45,31/31,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,73737,58656,15081,20.452418731437405
S22205,SIVAKASI - 205,KEERTHANA S,Tamilaga Vettri Kazhagam,68273,436,68709,35.51,22/22,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,68709,57039,11670,16.984674496790813
S2229,SRIPERUMBUDUR - 29,THENNARASU.K,Tamilaga Vettri Kazhagam,146950,661,147611,44.58,33/33,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,147611,93365,54246,36.749293751820666
S22139,SRIRANGAM - 139,RAMESH,Tamilaga Vettri Kazhagam,102496,739,103235,40.49,28/28,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,103235,69645,33590,32.537414636508935
S22216,SRIVAIKUNTAM - 216,SARAVANAN. G,Tamilaga Vettri Kazhagam,58143,671,58814,33.34,21/21,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,58814,57628,1186,2.016526677321726
S22203,SRIVILLIPUTHUR - 203,KARTHIK.A,Tamilaga Vettri Kazhagam,64709,944,65653,33.93,24/24,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,65653,57072,8581,13.070232891109319
